date,open,high,low,close,volume,daily_return,rolling_avg_5d_close,rolling_vol_5d
1999-12-17,100.87,102.0,98.5,100.0,4419700.0,0.017190519784355596,97.836,0.03193844891832168
1999-12-20,99.56,99.62,96.62,98.0,2535600.0,-0.020000000000000018,97.636,0.027873014794112225
1999-12-21,98.19,103.06,97.94,102.5,2746400.0,0.04591836734693877,99.162,0.0236653817380314
1999-12-22,102.87,104.56,98.75,99.94,2920300.0,-0.024975609756097583,99.75,0.029197528314551052
1999-12-23,101.81,104.25,101.06,103.5,2460400.0,0.035621372823694264,100.788,0.03208878788298651
1999-12-27,104.37,104.44,99.25,99.31,2460400.0,-0.040483091787439585,100.65,0.038848966567219353
1999-12-28,99.12,99.62,95.0,98.19,2460400.0,-0.01127781693686436,100.688,0.037955946280367234
1999-12-29,96.81,102.19,95.5,100.69,2540200.0,0.025460841226194075,100.326,0.03262658481426615
1999-12-30,102.19,104.12,99.62,100.31,2460400.0,-0.003773959678220251,100.4,0.030378012921471412
1999-12-31,100.94,102.87,99.5,102.81,2460400.0,0.02492273950752666,100.262,0.02758805391270221
2000-01-03,104.87,112.5,101.69,111.94,4783900.0,0.0888045909930939,102.78800000000001,0.03941800277222114
2000-01-04,108.25,110.62,101.19,102.5,4574800.0,-0.08433089154904416,103.65,0.0627688092853722
2000-01-05,103.75,110.56,103.0,104.0,6949300.0,0.014634146341463428,104.31199999999998,0.06229642731546734
2000-01-06,106.12,107.0,95.0,95.0,6856900.0,-0.08653846153846156,103.25,0.07576407006536033
2000-01-07,96.5,101.0,95.5,99.5,4113700.0,0.047368421052631504,102.58800000000001,0.07884206871536795
2000-01-10,102.0,102.25,94.75,97.75,4509500.0,-0.017587939698492483,99.75,0.05951828764151541
2000-01-11,95.94,99.37,90.5,92.75,3942400.0,-0.051150895140664954,97.8,0.052755439436956826
2000-01-12,95.0,95.5,86.5,87.19,8714900.0,-0.059946091644204835,94.438,0.051519166945812406
2000-01-13,94.48,98.75,92.5,96.75,9220400.0,0.10964560155981196,94.788,0.07180651313926682
2000-01-14,100.0,102.25,99.37,100.44,3485500.0,0.038139534883721016,94.976,0.07057460956037873
2000-01-18,101.0,106.0,100.44,103.94,4099800.0,0.034846674631620944,96.214,0.07049392625485547
2000-01-19,105.62,108.75,103.37,106.56,5336100.0,0.025206850105830236,98.976,0.0603024658829899
2000-01-20,115.5,121.5,113.5,113.5,16349400.0,0.06512762762762758,104.23800000000001,0.034153868751991674
2000-01-21,114.25,114.25,110.19,111.31,4427900.0,-0.019295154185022034,107.15,0.030698290534051112
2000-01-24,108.44,112.75,105.12,106.25,3936400.0,-0.04545862905399334,108.31199999999998,0.0441581828434312
2000-01-25,105.0,113.12,102.37,112.25,4438800.0,0.05647058823529405,109.974,0.04784931514471799
2000-01-26,110.0,114.19,109.75,110.19,3278200.0,-0.018351893095768346,110.7,0.04977394400403903
2000-01-27,108.81,113.0,107.0,110.0,3037000.0,-0.0017242944005807503,110.0,0.038100628348997724
2000-01-28,108.19,110.87,100.62,101.62,3779900.0,-0.07618181818181813,108.06199999999998,0.04986349164294828
2000-01-31,101.0,103.87,94.5,103.75,6265000.0,0.020960440858098783,107.56199999999998,0.049246347580321224
2000-02-01,104.0,105.0,100.0,100.25,2839600.0,-0.03373493975903619,105.16199999999999,0.03654860949276711
2000-02-02,100.75,102.12,97.0,98.81,4144600.0,-0.014364089775561029,102.88600000000001,0.03668609435721289
2000-02-03,100.31,104.25,100.25,103.31,4242800.0,0.045541949195425646,101.548,0.04741777578244752
2000-02-04,103.94,110.0,103.62,108.0,3797500.0,0.04539734778821014,102.824,0.0357232262093445
2000-02-07,108.0,114.25,105.94,114.06,3938100.0,0.05611111111111122,104.88600000000001,0.04083363590436588
2000-02-08,114.0,116.12,111.25,114.87,3648600.0,0.007101525512887896,107.80999999999999,0.030133351937232395
2000-02-09,114.12,117.12,112.44,112.62,2672900.0,-0.019587359623922662,110.572,0.03200006453200286
2000-02-10,112.87,113.87,110.0,113.5,2705200.0,0.00781388740898592,112.60999999999999,0.030939728164239174
2000-02-11,113.62,114.12,108.25,108.75,2460400.0,-0.04185022026431717,112.75999999999999,0.03666286034402017
2000-02-14,109.31,115.87,108.62,115.81,3281600.0,0.064919540229885,113.10999999999999,0.039979520161325895
2000-02-15,115.25,119.94,115.19,119.0,4337000.0,0.02754511700198603,113.936,0.04143584950070107
2000-02-16,117.75,118.12,112.12,114.12,3377200.0,-0.04100840336134448,114.23600000000002,0.04584423727017533
2000-02-17,115.19,115.5,113.12,114.87,2584800.0,0.006572029442691862,114.50999999999999,0.04581827114515593
2000-02-18,114.62,115.37,110.87,111.25,2460400.0,-0.03151388526160015,115.00999999999999,0.0434473336208002
2000-02-22,110.12,116.94,106.69,113.81,3770500.0,0.023011235955056275,114.60999999999999,0.03145974277785108
2000-02-23,113.23,119.0,111.0,116.25,4224100.0,0.021439240839996376,114.05999999999999,0.030061252389812738
2000-02-24,117.31,119.12,111.75,115.2,3361000.0,-0.00903225806451613,114.276,0.02283147724647017
2000-02-25,114.81,117.0,110.12,110.37,2460400.0,-0.04192708333333328,113.376,0.029717835946574803
2000-02-28,110.12,115.0,108.37,113.25,2931500.0,0.02609404729546072,113.776,0.02929506553412908
2000-02-29,113.56,117.25,112.56,114.62,3294300.0,0.01209713024282566,113.93800000000002,0.027889538359164207
2000-03-01,118.56,132.06,118.5,130.31,9616100.0,0.13688710521723957,116.75,0.06768249242041746
2000-03-02,127.0,127.94,120.69,122.0,2779100.0,-0.06377100759726806,118.10999999999999,0.07814604750466218
2000-03-03,124.87,128.23,120.0,128.0,2887200.0,0.049180327868852514,121.63600000000001,0.07228331645910144
2000-03-06,126.0,129.13,125.0,125.69,2460400.0,-0.018046875000000018,124.124,0.07580937585143624
2000-03-07,126.44,127.44,121.12,122.87,2460400.0,-0.022436152438539247,125.774,0.07860329167315196
2000-03-08,122.87,123.94,118.56,122.0,2460400.0,-0.00708065435012617,124.112,0.040595626081132236
2000-03-09,120.87,125.0,118.25,122.25,2470700.0,0.002049180327868827,124.16199999999999,0.028720299581437687
2000-03-10,121.69,127.94,121.0,125.75,2460400.0,0.02862985685071573,123.71199999999999,0.02028580721911144
2000-03-13,122.12,126.5,119.5,121.31,2713900.0,-0.03530815109343932,122.83600000000001,0.02444821669917286
2000-03-14,121.22,124.25,114.0,114.25,3826600.0,-0.05819800511087303,121.112,0.03365359373894175
2000-03-15,115.62,120.25,114.12,116.25,3960800.0,0.017505470459518557,119.96199999999999,0.03658268820797697
2000-03-16,117.31,122.0,114.5,121.56,3375900.0,0.04567741935483882,119.824,0.044287799232881814
2000-03-17,120.12,125.0,119.62,125.0,2723600.0,0.02829878249424156,119.674,0.04423387517247619
2000-03-20,123.5,126.25,122.37,123.0,2460400.0,-0.016000000000000014,120.01199999999999,0.041161122415782514
2000-03-21,122.56,136.75,121.62,134.94,4681500.0,0.0970731707317074,124.15,0.041586821621030216
2000-03-22,132.78,144.38,131.56,144.19,5071400.0,0.06854898473395576,129.738,0.04262090577042906
2000-03-23,142.0,150.38,140.0,141.31,5022900.0,-0.019973645883903157,133.68800000000002,0.05145012631103768
2000-03-24,142.44,143.94,135.5,138.69,3990300.0,-0.01854079682966525,136.42600000000002,0.05624030292934376
2000-03-27,137.63,144.75,136.88,139.56,2492700.0,0.0062729829115293345,139.738,0.0532591301571939
2000-03-28,137.25,142.0,137.13,139.13,2460400.0,-0.003081112066494751,140.576,0.03629640357123738
2000-03-29,139.38,139.44,133.83,135.94,2460400.0,-0.02292819665061452,138.92600000000002,0.012635496015037353
2000-03-30,133.56,137.69,125.44,125.75,3700000.0,-0.07495954097395907,135.814,0.03151480327108457
2000-03-31,127.44,137.25,126.0,135.81,3612800.0,0.08000000000000007,135.238,0.056014026928016346
2000-04-03,135.5,139.5,129.44,133.31,2933600.0,-0.018408070097930884,133.988,0.056086711702859476
